periodo,id_empresa,seccion_economica,gastos_totales,gasto_gestion_amb,consumo_agua_m3,consumo_energia_kwh,actividad_nombre
2021,10001,Alojamiento,1682975,0,0,0,0
2021,10002,Alojamiento,1710641,0,0,0,0
2021,10003,Alojamiento,6854236,0,0,0,0
2021,10004,Alojamiento,6000326,0,0,0,0
2021,10005,Expendio De Alimentos,22229918,171785,1,1,0
2021,10006,Expendio De Alimentos,71438456,0,0,0,0
2021,10007,Expendio De Alimentos,831639,0,0,0,0
2021,10008,Expendio De Alimentos,14527370,10504,0,0,0
2021,10013,Auxiliares Del Transporte,17301519,0,0,0,0
2021,10015,Auxiliares Del Transporte,9562698,25000,1,1,0
2021,10017,Auxiliares Del Transporte,169410655,1044270,1,1,0
2021,10018,Auxiliares Del Transporte,4559380,34699,0,0,0
2021,10019,Agencias De Viajes,2365205,465,0,0,0
2021,10020,Agencias De Viajes,1099116,0,0,0,0
2021,10021,Auxiliares Del Transporte,6287208,0,0,0,0
2021,10022,Auxiliares Del Transporte,9028558,16503,0,0,0
2021,10023,Auxiliares Del Transporte,3226363,0,0,0,0
2021,10024,Auxiliares Del Transporte,2337115,0,0,0,0
2021,10025,Auxiliares Del Transporte,3429871,0,0,0,0
2021,10026,Actividades De Telecomunicaciones,1043000,0,0,0,0
2021,10027,Actividades De Telecomunicaciones,111483475,0,0,0,0
2021,10029,Alojamiento,10580896,3821,0,1,0
2021,10030,Inmobiliarias Y Alquileres,2285083,0,0,0,0
2021,10033,"Actividades Profesionales, Cientificas",16710673,0,0,0,0
2021,10034,"Actividades Profesionales, Cientificas",10588059,0,0,0,0
2021,10035,"Actividades Profesionales, Cientificas",7340927,0,0,0,0
2021,10036,"Actividades Profesionales, Cientificas",888784,0,0,0,0
2021,10038,"Actividades Profesionales, Cientificas",10830733,32486,1,0,0
2021,10040,"Actividades Profesionales, Cientificas",166808550,4117,0,0,0
2021,10041,Obtencion Y Suministro De Personal,3749003,0,0,0,0
2021,10044,Obtencion Y Suministro De Personal,15237773,0,0,0,0
2021,10047,Obtencion Y Suministro De Personal,9317665,0,0,0,0
2021,10048,Obtencion Y Suministro De Personal,14982626,0,0,0,0
2021,10049,Obtencion Y Suministro De Personal,37188752,35000,1,1,0
2021,10050,Obtencion Y Suministro De Personal,89240103,0,0,0,0
2021,10051,Obtencion Y Suministro De Personal,35472398,0,0,0,0
2021,10052,Obtencion Y Suministro De Personal,1785831,0,0,0,0
2021,10053,Obtencion Y Suministro De Personal,4150328,0,0,0,0
2021,10055,Obtencion Y Suministro De Personal,120132338,0,0,0,0
2021,10057,Obtencion Y Suministro De Personal,33197096,0,0,0,0
2021,10058,Obtencion Y Suministro De Personal,27501661,0,0,0,0
2021,10059,Obtencion Y Suministro De Personal,22474301,0,0,0,0
2021,10060,Obtencion Y Suministro De Personal,8422273,0,0,0,0
2021,10062,Obtencion Y Suministro De Personal,7194018,0,0,0,0
2021,10063,Obtencion Y Suministro De Personal,144998309,0,0,0,0
2021,10064,Obtencion Y Suministro De Personal,12566989,0,0,0,0
2021,10065,Obtencion Y Suministro De Personal,11722133,0,0,0,0
2021,10066,Obtencion Y Suministro De Personal,61086583,0,0,0,0
2021,10067,Obtencion Y Suministro De Personal,18133453,0,0,0,0
2021,10068,Obtencion Y Suministro De Personal,4178923,52,1,0,0
2021,10069,Obtencion Y Suministro De Personal,6104339,0,0,0,0
2021,10070,Obtencion Y Suministro De Personal,93862404,160947,1,1,0
